OriginalTweet,Attitude,Emotion,Link
"b'FILE PHOTO: A Ukrainian soldier hides from a helicopter airstrike amid Russia\'s invasion of Ukraine, near Demydiv, Ukraine March 10, 2022.  REUTERS/Maksim Levin/File Photo SEARCH ""MAKSIM LEVIN"" FOR ALL IMAGES. https://t.co/sKfp9vYUrz'",1,0,https://t.co/sKfp9vYUrz
b"@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Maybe you should stop murdering Ukrainians so they don't need these weapons?",1,1,#VALUE!
b'Right now Putin is committing genocide in Ukraine! Russian military forces bomb cities and murder civilians! Please send military and humanitarian aid to #Ukraine! Introduce the most severe sanctions against #Russia! We must stop Putin together and prevent his further war crimes',1,1,#VALUE!
"b'Russian Forces Kill Over 100 Nationalists, Mercenaries in High Precision #Iskander Strike Against Defence HQ in #Kharkov \n\nA missile strike destroyed the Ukrainian defense Headquater in Kharkov, eliminating Ukrainian Nationalists &amp; Western #Mercenaries\n\n#Video #Russia #Ukraine https://t.co/DXZBDG2CMH'",1,1,https://t.co/DXZBDG2CMH
"b'@jabroni619 @MarshaBlackburn And, just so you know, I suspected that the info on Hunter was at least partially true. After all, he was involved in Russia and Ukraine and at the time this would have happened, Ukraine had a Putin puppet in the Presidency. And since Hunter had addiction issues&gt;7'",0,1,#VALUE!
"b'@SenHydeSmith @JakeSullivan46 Dear Cindy, thank you so much!! Indeed, as a priority \xf0\x9f\x87\xba\xf0\x9f\x87\xa6still needs fighter jets &amp; long-range SAMs! Please promote &amp; push this agenda on the US level. Ukraine is making great progress in the war and can defeat russia, just help us a bit with the heavy arms like jets and SAMs...\xf0\x9f\x98\xa5'",1,1,#VALUE!
"b""Russia's talks with Ukraine have not been easy, but the main thing is that they are continuing, RIA news agency quoted Kremlin spokesman Dmitry Peskov as saying on Saturday. https://t.co/emOwkcI0UA""",0,0,https://t.co/emOwkcI0UA
b"@armscontrol_rus @MID_RF @MIDArkh @smdmid @mid_yakutsk @MID_Orenburg @MIDKrasnoyarsk @MID_SAMARA @MID_Izhevsk @MID_Kamchatka @mid_alania To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.",1,1,#VALUE!
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus If I had as much as a kitchen knife that I thought would\xe2\x80\x99ve helped Ukraine get rid of Russian cancer..!',1,1,#VALUE!
"b'@mfa_russia @RusEmbUSA @RussianEmbassy @RusEmbIndia @EmbassyofRussia @mission_russian @RusBotschaft @rusembassynl @Dpol_un @Amb_Ulyanov @A__Alimov While Russia wants to kill our present future, kill humanity, you have to think, it hurts every day to know how many people have died today, that is not the way, God forgive them, I do not support Ukraine or Russia, they only bring death: c'",0,0,#VALUE!
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Your account is just a pathetic parody.',0,1,#VALUE!
b'Xijinping is more "successful\' than Putin\nBecause China killed 1.2 million Tibetans and is occupying Tibet without sanctions and now Putin is wondering why Russia can not do the same with the people of Ukraine.\nCHINA SANCTIONS NOW\xe2\x80\xbc\xef\xb8\x8f\xf0\x9f\x91\x81\xef\xb8\x8f https://t.co/qRQhPW1NmB',0,1,https://t.co/qRQhPW1NmB
"b'Russian forces retreat from Kyiv region, Ukrainian military says  https://t.co/Zn4titowgd'",0,0,https://t.co/Zn4titowgd
b'Ex-ICC prosecutor urges global arrest warrant for Putin https://t.co/1B3LSI6h4X',1,0,https://t.co/1B3LSI6h4X
b'Russia\xe2\x80\x99s forces are killing the civilian population in Ukraine with weapons made of foreign components. That is why it is absolutely crucial to cease any business relations with Russia. #StandwithUkraine #StopRussia https://t.co/dqrAU1ye6G',1,0,https://t.co/dqrAU1ye6G
"b'No one cares, let the pain continue. \nNow add some long range missile to drop on there heads would be nice.\n\nStunning images inside Russian grocery store show dire situation\n\nhttps://t.co/YAGFJUuIrJ'",0,0,https://t.co/YAGFJUuIrJ
b'@ZelenskyyUa @EmmanuelMacron "...talks with \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 President @EmmanuelMacron... humanitarian corridors from Mariupol..implemented!"- @ZelenskyyUa\n\nLet Mariupol be a France-Russia litmus test.\nFrance is still open for business in Russia.\nWhat Ukraine related concession has Mr. Putin given?\nhttps://t.co/3Kw3SL9tF2',1,1,https://t.co/3Kw3SL9tF2
b'#Lithuania ceasing all Russian #gas imports for domestic needs https://t.co/tPiAgRBX3X #Putinswar #Ukraine #Russia',0,0,https://t.co/tPiAgRBX3X #Putinswar #Ukraine #Russia
"b""#MaksimLevin, a #photographer and videographer who was working for a #Ukrainian news website and was a long-time contributor to Reuters, was killed while covering #Russia's invasion of Ukraine. He leaves behind his wife and four children.\nhttps://t.co/pbAZRNScqH""",1,0,https://t.co/pbAZRNScqH
"b'@ksenia755 @TheToriesOut @lesiavasylenko @NATO Man you really are stupid, after this explanation im muting you, I dont have time for imbeciles. Russia is outnumbered in this conflict because they only brought 190k troops to Ukraine vs Ukraines 600k numbered forces. Do you UNDERSTAND now Karen?'",0,1,#VALUE!
"b""1400 Ukrainian civilians being moved to Russia by the Russian occupiers is something ominuous to the press; a dark deed by Russia!\n\nBluntly, again it's like people writing it would have no idea how military occupiers behave - or, again, expect that Ukraine should be an exception.""",1,1,#VALUE!
b'@mfa_russia @TokayevKZ @Rfembkazakhstan @KremlinRussia_E @MFA_KZ @Kazakhstan @AkordaPress @primeministerkz @KazBrussels @KazEmbassyIndia @kazembassyEst Wow! Must be a huge deal! Now the peace talks over since Ukraine finally boomed Russia! Next I hope they hit Putin in the face! #PutinIsaWarCriminal',1,1,#VALUE!
"b""Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most lethal disastrous war is taking place in #Tigray, where food has been weaponized for more than 17 months. #EndTigraySiege @vickyford @SenatorRounds""",1,0,#VALUE!
b'@StalinismUSA @SameeraKhan @AOC @krystalball Why? Anarchism is about degrees not absolutes. Only statists and fascists think in degrees of absolutes. I want Ukraine to be an independent and unmolested state---it is certainly better than it being an imperial domain of Russia.',1,0,#VALUE!
b'@rkapuaala @IAPonomarenko @MaxBoot aside from few big cities russia is a black hole and it wants to drug Ukraine into it https://t.co/wepf2WDBUD',0,0,https://t.co/wepf2WDBUD
b'Red Cross prepares for another attempt to rescue civilians from Mariupol as Russia shifts Ukraine\xc2\xa0focus https://t.co/yVfVvrdnuj',0,0,https://t.co/yVfVvrdnuj
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Lol only Russia would cry that a country is resisting in a war they started ! Just remember.. they go both ways ! https://t.co/8UDfH9wO9K',1,0,https://t.co/8UDfH9wO9K
b'For your Special Playlist - timeless positive music - \n"After Tomorrow"\n\n#music #Spotify #weekend #goodmorning #Peace @Spotify  #Ukraine #Russia #inspiration #future  #USA\n\nhttps://t.co/CaoXEZl1tl',0,0,https://t.co/CaoXEZl1tl
"b'\xf0\x9f\x87\xb7\xf0\x9f\x87\xbaRussia \xf0\x9f\x87\xba\xf0\x9f\x87\xa6Ukraine Conflict, 24Feb-02Apr\n\nRussian prisoners of war - \xe2\x80\x9ca free trip to hell\xe2\x80\x9d \xf0\x9f\x91\x87@LetUsUniteHere https://t.co/gH4mrpx40l'",0,0,https://t.co/gH4mrpx40l
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Fake news.',0,1,#VALUE!
"b""@RALee85 I don't understand  why they have not done before...fire missiles in Ukraine, why not fire missiles at Russia, give the some of there own medicine... Kremlin would be a good target! See if they learn the lesson.""",1,1,#VALUE!
b'@Howard_the_Buck @TicTocTick The peace story\xe2\x80\x99s are all fluff. Russias regrouping to fortify and hold the Donbas region + crimea.  Ukraine\xe2\x80\x99s done an amazing job blunting the Russian offensive.  It\xe2\x80\x99s an entirely other thing to have to go on the offensive and kick Russia out of those regions',1,0,#VALUE!
b'@DailyMailCeleb She is traumatized because Will slapped Chris and not because Russia is attacking Ukraine. Some people are just very stupid.',1,0,#VALUE!
b'#DmitryPeskov said that #Russia is ready to provide #Belarus with "absolute support" in the event of an attack on the republic. \n\n#Ukraine \n#UkraineRussiaWar \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 \xf0\x9f\xaa\x96 \xf0\x9f\x87\xb7\xf0\x9f\x87\xba https://t.co/9TnJg5Yw3d',0,0,https://t.co/9TnJg5Yw3d
b'\xe2\x9a\xa1\xef\xb8\x8fMore War Crimes\nFollow my lists:\nRUSSIA &amp; UKRAINE One list since reporters &amp; others overlap https://t.co/W6orwnBWv3\nDEFENSE https://t.co/o0rpSL9G1i\nREFUGEES https://t.co/gkj6a0LZKj\nTHE HAGUE https://t.co/1LcxWzSd2R\nDC https://t.co/0urknX6mu0\nALL LISTS https://t.co/iYIHGMFG7f https://t.co/gHsgovlBkq',0,0,https://t.co/W6orwnBWv3\nDEFENSE https://t.co/o0rpSL9G1i\nREFUGEES https://t.co/gkj6a0LZKj\nTHE HAGUE https://t.co/1LcxWzSd2R\nDC https://t.co/0urknX6mu0\nALL LISTS https://t.co/iYIHGMFG7f https://t.co/gHsgovlBkq
"b'""Seeking full energy independence from Russian #gas, in response to #Russia\'s energy blackmail in #Europe and the war in #Ukraine, #Lithuania has completely abandoned Russian gas"" writes @MinEnergyLT. \n\nRead more: https://t.co/z8849CcZB3 https://t.co/lr6cNPbw8R'",1,0,https://t.co/z8849CcZB3 https://t.co/lr6cNPbw8R
b'@VolodymyrSt77 @bfry1981 @RALee85 Russia has lost under 1K soldiers. What an idiotic meme. Ukraine has lost nearly 20K yes.',0,0,#VALUE!
"b'Ongoing negotiations between Russia and Ukraine to end the ongoing war between the two nations is likely to dominate this week\xe2\x80\x99s Sunday show circuit. This week, Russian and Ukrainian negotiat\xe2\x80\xa6... https://t.co/07wOpXtrYk'",0,0,https://t.co/07wOpXtrYk
"b'Hanna Maliar, Ukraine\'s deputy defense minister, said Saturday that the Kyiv region had been ""liberated"" from Russian forces.\n\nShe said in a post on Facebook that Bucha, Irpin, Hostomel and ""the whole Kyiv region was liberated from the invader.""https://t.co/P1NbRGLfT4'",1,0,https://t.co/P1NbRGLfT4
"b'@AhmedBaba_ I hope everyone is taking a long look at Russia and Ukraine. If we let the fascists take over, will we fight as hard as the Ukranian people to protect our Democracy? God I hope so. #VoteBlueToSaveDemocracy \xf0\x9f\x92\x99\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a'",1,1,#VALUE!
b'@mywaters2 @newsmax Russia has opposition media?\n\nUkraine banned opposition media because democracy.',0,1,#VALUE!
"b""@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Yes they are selling them bows and arrows \xf0\x9f\x8f\xb9\xf0\x9f\x8f\xb9\xf0\x9f\x8f\xb9.\nThey will be leaked to none. Don't worry. You should worry more about the weapons your army is leaving behind as they run to hide as civilians.\nRussia, go to the cashier. The game is over. Take your earnings and stop.""",1,1,#VALUE!
"b'@IAPonomarenko The world is crying, the Russia is mentally ill, Ukraine is wounded in his flesh.'",1,0,#VALUE!
"b'@UAWeapons RSVP, special delivery for Vlad P.\n\n#PutinIsaWarCriminal #ukraine #russia #putin'",1,0,#VALUE!
b'Russia-Ukraine war latest: Ukrainian troops retake entire Kyiv region as evidence emerges of execution of civilians \xe2\x80\x93 live https://t.co/kNgdKWTyDh',0,0,https://t.co/kNgdKWTyDh
b'@xohaibshahzad @warwounded__ Exactly. NATO is pushing russia against the wall with ukraine having western influenced govt. Why not question  the reason western allies are at the doorsteps of Russia? And the point is not about standing with russia but to have an independed foreign policy.',0,0,#VALUE!
b"War in Ukraine Hasn't Loosened Putin's Grip on Power - TIME https://t.co/FvBC0AUoXb",0,0,https://t.co/FvBC0AUoXb
"b""Good news in that #Ukraine may be holding, even pushing back, Russian forces out of Ukraine.\n\nBad news, it's still Ukraine.\n\nBefore it was given a huge image makeover by being Russia's victim, Ukraine was Europe's poorest, perhaps most corrupt nation. See Hunter Biden emails.""",1,0,#VALUE!
b'Peace negotiations advanced enough to allow direct meeting between Putin and Zelenskyy: Interfax https://t.co/oAutkYTIs1',0,0,https://t.co/oAutkYTIs1
b'It breaks my heart to see these photos and feeling powerlessnesses whilst those who have power think\n\nthat we still need to wait for Russia to resort to chemical weapons to merit tougher sanctions and better military support for Ukraine. \n\nAre you serious? \n\n #nato \n #CloseTheSky https://t.co/z73reP8EZ4',1,1,https://t.co/z73reP8EZ4
b'@of_kyiv @DrallHiren @TaraTracey4 @mfa_russia @IndianDiplomacy @MEAIndia @AmbRus_India @RusEmbIndia @IndiaUNNewYork @ibtimes_india @indiandiplomats @IFAJournal @RusEmbUSA @IndEmbMoscow U just stick onto one sided campaign \nIt will be better for u\nBut India remains abstained until and unless there is a dialogue talks between Russia and Ukraine so that there is a hope that war stops',0,0,#VALUE!
"b'Ukraine should drop its NATO bid and establish itself as a security bufffer zone between NATO and Russia to seek its National Interest. Note: \xe2\x80\x9cIn this life, no one seek your interest more than you will. Play along, but never allow yourself to used\xe2\x80\x9d. I hope they get the clue.'",0,0,#VALUE!
b'Is it possible that the only way to stop #Russia in #Ukraine is by only #WWIII?',1,0,#VALUE!
"b""@Valleyziro @ivab10 @APatricius @BNONews India made its decisions about tieying with Russia long time ago. You also have military pacts with Japan. That's why there's not a chance of getting support from west now... Especially now, since India is clearly supporting the war in Ukraine..""",0,0,#VALUE!
"b'Chief Negotiator for Ukraine David Arakhamia:\n\nThe draft peace agreement between Russia and Ukraine is now advanced enough to allow talks between Putin and Zelensky.\n\n\xe2\x9e\x96 Russia accepted our offers, except for the Crimea issue. https://t.co/DS7NxKyYBI https://t.co/YtHM41qKQi'",1,0,https://t.co/DS7NxKyYBI https://t.co/YtHM41qKQi
"b'We must continue supporting the Ukrainian People.\n\nRussia\xe2\x80\x99s war against Ukraine: Day 38, April 2, \xe2\x80\x93 Update No. 2 https://t.co/wBXQXYHpsp'",1,1,https://t.co/wBXQXYHpsp
b'Destroyed #Russian armoured cumn near #Chernigiv\xf0\x9f\x87\xba\xf0\x9f\x87\xa6 #Ukraine #RussianArmy #\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f #Russia #StandWithUkraine #RussianUkrainianWar #\xd0\x9a\xd0\xb8\xd1\x97\xd0\xb2 #Kyiv\n #\xd0\xa1\xd0\xb2\xd0\xbe\xd0\xb8\xd1\x85\xd0\x9d\xd0\xb5\xd0\x91\xd1\x80\xd0\xbe\xd1\x81\xd0\xb0\xd0\xb5\xd0\xbc #\xd0\xbf\xd0\xbe\xd1\x82\xd0\xb5\xd1\x80\xd1\x8c\xd0\xbd\xd0\xb5\xd1\x82 #\xd0\xbc\xd1\x8b\xd0\xb5\xd0\xb4\xd0\xb8\xd0\xbd\xd1\x8b #Z #\xd0\xa0\xd0\xa4 https://t.co/lqxeEZrhSm',1,1,https://t.co/lqxeEZrhSm
"b'Canada announced more sanctions against Russia, targeting 62 individuals &amp; entities, incl. members of the Russian elite &amp; major Russian banks, &amp; canceling all export permits, after Moscow launched an all-out invasion of Ukraine https://t.co/TKv4thxyDo \nhttps://t.co/OB4FgZeKw8'",1,0,https://t.co/TKv4thxyDo \nhttps://t.co/OB4FgZeKw8
b'@cdntradegrljenn It is sad. The strategy Russia is using in this war is not to preserve anything of Ukraine. It is to destroy who they are. They have hit a ton of religious sites as well. It it truly terrible.',1,1,#VALUE!
b'@Satoshyi @mfa_russia @RusEmbUSA @RussianEmbassy @RusEmbIndia @EmbassyofRussia @mission_russian @RusBotschaft @rusembassynl @Dpol_un @Amb_Ulyanov @A__Alimov This is how Ukraine treats nazi collaborators.\n\nWho are the nazis again? https://t.co/WS9MJROo06',0,1,https://t.co/WS9MJROo06
b'Zelensky does not confirm Ukraine launched an attack on an oil depot in Russia / The New Voice of Ukraine https://t.co/qz54ubacyq #Ukraine #UkraineRussia #UkraineUnderAtta\xd1\x81k #UkraineWar',0,0,https://t.co/qz54ubacyq #Ukraine #UkraineRussia #UkraineUnderAtta\xd1\x81k #UkraineWar
"b'@GhostManchu \xe2\x80\x9cWestern Civilization\xe2\x80\x9d does not exist. It is just a Nazi-Americoid psyop to unfairly sever the three easternmost European countries (Ukraine, Belarus, and Russia) from the rest of the European world.'",1,0,#VALUE!
"b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator The west, north and south have no obligations to Russia. What don\xe2\x80\x99t you seem to understand?? You\xe2\x80\x99ve alienated yourself from the world by slaughtering the innocent people of Ukraine and decimating their country. We owe Russia Jack shit!! \xf0\x9f\x96\x95\xf0\x9f\x8f\xbd'",0,1,#VALUE!
"b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Reminds me of when you \xe2\x80\x9cpumped\xe2\x80\x9d BUK\xe2\x80\x98s into Donbas, arming warlords who blew #MH17 out of the sky. Get out of Ukraine or the risk will exist to every Russian citizen on earth.'",1,1,#VALUE!
"b'@JeevesRockston @WeAreTheMSM Ukraine is the global child trafficking hub for dreno, nonce, murder etc... Chernobyl is main place they kept...why ye think these ghouls goin wild for Ukraine and using normies to fight against Russia'",1,1,#VALUE!
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Yep . Going to send a few more of these for the Ukrainians to \xe2\x80\x9c deliver \xe2\x80\x9c \n#PutinsWarCrimes #PutinButcher #RussianWarCrimes https://t.co/g2SUU3WrpO',0,1,https://t.co/g2SUU3WrpO
b'@ForecasterEnten\n I disagree that less talk of Covid helps Republicans. Less talk about Covid means less talk about masks and vaccines and Fauci and thus the sounding board for the ultra-right also disappears. https://t.co/CnfzaSYOmb',0,0,https://t.co/CnfzaSYOmb
"b'@Vick_top55 Western Ukraine does not want to be part of Russia &amp; Russia cannot hold them within their borders without constant turmoil. Leave them to their own divises. Between the Nazis &amp; Isis, the Ukrainians will soon discover who the real enemy is. Russia has bigger fish to fry'",0,1,#VALUE!
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Go out of Ukraine!',1,1,#VALUE!
b'"Those in the Middle East know the kind of destruction seen in Ukraine all too well \xe2\x80\x93 the West was the perpetrator."\nhttps://t.co/FdQopzjss4',0,1,https://t.co/FdQopzjss4
"b'#Chechen security forces, the #AzovBattalion #Aidar  #RightSector -busters, together with the #Russian servicemen\n\n#Russia #Ukraine #RussiaUkraineWar #UkraineRussiaWar \nVIDEO: https://t.co/hSozQk4Ufm'",1,0,https://t.co/hSozQk4Ufm
"b""@JPHughes19 It's impossible.  If Russia stops the war on this, then Ukraine will continue the war.  Immediately or after a short time.  And then this war will destroy the whole world.""",0,0,#VALUE!
"b""@AR26389717 PMIK, effectively, condemned Russia's unilateral action against Ukraine when he was Russia, &amp; the statement he issued said that a non-confrontational solution should be sought.\n\nAt the time, the conflict had just started. Today, a lot of ppl HAVE been killed.\n\nNSC statement etc..""",1,0,#VALUE!
